"SampleID","cluster"
"10003","Lactobacillus_iners"
"10007","Lactobacillus_iners"
"10042","Lactobacillus_iners"
"10048","Lactobacillus_iners"
"10058","Mycoplasma_girerdii"
"10075","Lactobacillus_iners"
"10080","Lactobacillus_iners"
"10085","notype"
"10087","Lactobacillus_crispatus_cluster"
"10100","Gardnerella_vaginalis"
"10116","Lactobacillus_crispatus_cluster"
"10119","Lactobacillus_iners"
"10126","Lactobacillus_iners"
"10130","Lactobacillus_crispatus_cluster"
"10146","Lactobacillus_iners"
"10181","Lactobacillus_iners"
"10210","Lactobacillus_iners"
"10222","Lactobacillus_iners"
"10236","Lactobacillus_iners"
"10245","Lactobacillus_gasseri_cluster"
"10283","Lactobacillus_crispatus_cluster"
"10312","Lactobacillus_iners"
"10327","Lactobacillus_iners"
"10450","Lactobacillus_iners"
"10453","Lactobacillus_gasseri_cluster"
"10456","Lactobacillus_iners"
"10467","Lactobacillus_crispatus_cluster"
"10469","Lactobacillus_iners"
"10507","Lachnospiraceae_BVAB1"
"10513","notype"
"10566","Lactobacillus_iners"
"10569","Gardnerella_vaginalis"
"10599","Lactobacillus_iners"
"10609","Lactobacillus_iners"
"10634","Lactobacillus_iners"
"10666","Lactobacillus_crispatus_cluster"
"10711","Lachnospiraceae_BVAB1"
"10713","Lactobacillus_crispatus_cluster"
"10714","Lactobacillus_iners"
"10747","Lactobacillus_iners"
"10751","Lactobacillus_iners"
"10753","Lactobacillus_iners"
"10778","Lactobacillus_iners"
"10780","Atopobium_vaginae"
"10860","Lactobacillus_crispatus_cluster"
"10864","Lactobacillus_iners"
"10866","Lactobacillus_iners"
"10868","Lactobacillus_iners"
"10886","Lactobacillus_crispatus_cluster"
"10910","Gardnerella_vaginalis"
"10923","Lactobacillus_jensenii/fornicalis/psittaci"
"10940","notype"
"11011","Lactobacillus_iners"
"11035","Lactobacillus_gasseri_cluster"
"11037","Lactobacillus_jensenii/fornicalis/psittaci"
"11043","Lactobacillus_iners"
"11044","Lactobacillus_iners"
"11049","Lactobacillus_crispatus_cluster"
"11060","Lactobacillus_jensenii/fornicalis/psittaci"
"11074","Lactobacillus_iners"
"11085","Lactobacillus_crispatus_cluster"
"11094","Lactobacillus_iners"
"11118","Lactobacillus_crispatus_cluster"
"11119","Lactobacillus_iners"
"11139","Lactobacillus_iners"
"11145","Lactobacillus_iners"
"11148","Lactobacillus_gasseri_cluster"
"11184","Lactobacillus_crispatus_cluster"
"11227","Lactobacillus_iners"
"11296","Gardnerella_vaginalis"
"11300","Lactobacillus_crispatus_cluster"
"11301","Lactobacillus_crispatus_cluster"
"11310","Lactobacillus_gasseri_cluster"
"11314","Sneathia_sanguinegens"
"11315","Lactobacillus_iners"
"11316","Lactobacillus_iners"
"11318","Lactobacillus_crispatus_cluster"
"11319","Lactobacillus_iners"
"11339","Lachnospiraceae_BVAB1"
"11342","Lactobacillus_crispatus_cluster"
"11346","Lactobacillus_gasseri_cluster"
"11347","Lactobacillus_crispatus_cluster"
"11361","Lactobacillus_iners"
"11374","Lactobacillus_gasseri_cluster"
"11383","Lactobacillus_iners"
"11391","Lactobacillus_gasseri_cluster"
"11396","Gardnerella_vaginalis"
"11407","Lactobacillus_iners"
"11409","Sneathia_amnii"
"11420","notype"
"11428","Lactobacillus_gasseri_cluster"
"11433","Lactobacillus_iners"
"11451","Gardnerella_vaginalis"
"11455","Lactobacillus_crispatus_cluster"
"11461","Lactobacillus_iners"
"11462","Bifidobacterium_breve_cluster"
"11465","Lactobacillus_iners"
"11487","Lactobacillus_crispatus_cluster"
"11490","Lactobacillus_crispatus_cluster"
"11491","Lactobacillus_crispatus_cluster"
"11492","Lactobacillus_crispatus_cluster"
"11493","Lactobacillus_crispatus_cluster"
"11500","Lactobacillus_iners"
"11503","Lactobacillus_gasseri_cluster"
"11504","Lactobacillus_iners"
"11507","Lactobacillus_crispatus_cluster"
"11508","Lactobacillus_iners"
"11519","Lactobacillus_iners"
"11520","Lactobacillus_jensenii/fornicalis/psittaci"
"11521","Lactobacillus_iners"
"11526","Lactobacillus_jensenii/fornicalis/psittaci"
"11536","Lachnospiraceae_BVAB1"
"11550","Lactobacillus_gasseri_cluster"
"11565","Lactobacillus_crispatus_cluster"
"11596","Lactobacillus_crispatus_cluster"
"11600","Streptococcus_agalactiae"
"11607","Lactobacillus_iners"
"11622","Lactobacillus_iners"
"11631","Lactobacillus_delbrueckii"
"11633","Lactobacillus_iners"
"11639","Lachnospiraceae_BVAB1"
"11646","Lactobacillus_crispatus_cluster"
"11650","Lactobacillus_iners"
"11667","Gardnerella_vaginalis"
"11671","Lactobacillus_iners"
"11693","Lactobacillus_crispatus_cluster"
"11701","Megasphaera_OTU70_type1"
"11715","Lachnospiraceae_BVAB1"
"11717","Lactobacillus_iners"
"11718","Lactobacillus_crispatus_cluster"
"11724","notype"
"11727","Lactobacillus_jensenii/fornicalis/psittaci"
"11781","Lactobacillus_iners"
"11827","Lactobacillus_iners"
"11829","Gardnerella_vaginalis"
"11840","Lactobacillus_iners"
"11859","Lactobacillus_iners"
"11886","Lactobacillus_crispatus_cluster"
"11888","Lactobacillus_crispatus_cluster"
"11892","Lactobacillus_iners"
"11901","Lactobacillus_gasseri_cluster"
"11903","Lactobacillus_iners"
"11906","notype"
"11922","Lactobacillus_iners"
"11928","Streptococcus_agalactiae"
"11930","Lactobacillus_crispatus_cluster"
"11931","Lactobacillus_crispatus_cluster"
"11934","Lactobacillus_iners"
"11936","Lactobacillus_jensenii/fornicalis/psittaci"
"11939","Lactobacillus_iners"
"11954","Lactobacillus_crispatus_cluster"
"11971","Gardnerella_vaginalis"
"11973","Lachnospiraceae_BVAB1"
"12007","Lactobacillus_iners"
"12053","Lachnospiraceae_BVAB1"
"12083","Lactobacillus_iners"
"12086","notype"
"12113","Lachnospiraceae_BVAB1"
"12130","Lactobacillus_iners"
"12134","Lachnospiraceae_BVAB1"
"12137","Lactobacillus_iners"
"12141","Bifidobacterium_bifidum"
"12150","Lactobacillus_crispatus_cluster"
"12161","Lactobacillus_iners"
"12162","Lachnospiraceae_BVAB1"
"12163","Lactobacillus_iners"
"12165","notype"
"12174","Lachnospiraceae_BVAB1"
"12179","Lactobacillus_crispatus_cluster"
"12194","Lactobacillus_crispatus_cluster"
"12206","Lactobacillus_iners"
"12209","Lactobacillus_gasseri_cluster"
"12220","Gardnerella_vaginalis"
"12233","Lactobacillus_jensenii/fornicalis/psittaci"
"12241","Lactobacillus_iners"
"12251","Lactobacillus_iners"
"12259","Lactobacillus_iners"
"12278","Bifidobacterium_breve_cluster"
"12282","Lactobacillus_gasseri_cluster"
"12312","Lactobacillus_jensenii/fornicalis/psittaci"
"12314","Lactobacillus_iners"
"12318","Lactobacillus_iners"
"12321","Lactobacillus_iners"
"12326","Lactobacillus_crispatus_cluster"
"12329","Lactobacillus_crispatus_cluster"
"12334","Lactobacillus_crispatus_cluster"
"12341","Lactobacillus_iners"
"12373","notype"
"12376","Lactobacillus_crispatus_cluster"
"12384","Lactobacillus_gasseri_cluster"
"12387","Lactobacillus_iners"
"12399","Lactobacillus_crispatus_cluster"
"12422","Lactobacillus_crispatus_cluster"
"12424","Lactobacillus_crispatus_cluster"
"12435","Lactobacillus_iners"
"12443","Lachnospiraceae_BVAB1"
"12444","Lactobacillus_iners"
"12463","Lactobacillus_crispatus_cluster"
"12464","Lactobacillus_iners"
"12479","Streptococcus_agalactiae"
"12483","Lactobacillus_crispatus_cluster"
"12495","Lactobacillus_iners"
"12508","Lactobacillus_iners"
"12522","Lactobacillus_iners"
"12523","Lactobacillus_crispatus_cluster"
"12531","Lactobacillus_iners"
"12553","Lactobacillus_crispatus_cluster"
"12595","Lactobacillus_crispatus_cluster"
"12597","Lactobacillus_iners"
"12615","Lactobacillus_gasseri_cluster"
"12617","Lactobacillus_gasseri_cluster"
"12624","Lactobacillus_crispatus_cluster"
"12633","Lactobacillus_gasseri_cluster"
"12641","Lactobacillus_iners"
"12643","notype"
"12662","Lactobacillus_iners"
"12682","Lactobacillus_crispatus_cluster"
"12688","Lachnospiraceae_BVAB1"
"12724","Lactobacillus_iners"
"12730","Lactobacillus_crispatus_cluster"
"12734","Lachnospiraceae_BVAB1"
"12739","Lactobacillus_iners"
"12752","Lactobacillus_iners"
"12761","Lactobacillus_gasseri_cluster"
"12767","Lactobacillus_crispatus_cluster"
"12786","Lactobacillus_gasseri_cluster"
"12788","Lactobacillus_iners"
"12793","Lactobacillus_crispatus_cluster"
"12809","Lactobacillus_jensenii/fornicalis/psittaci"
"12812","Lactobacillus_crispatus_cluster"
"12814","Lactobacillus_iners"
"12818","Lactobacillus_iners"
"12821","Lactobacillus_iners"
"12825","Lactobacillus_gasseri_cluster"
"12836","Lactobacillus_iners"
"12853","Atopobium_vaginae"
"12854","Lactobacillus_iners"
"12859","Lactobacillus_crispatus_cluster"
"12870","Lactobacillus_cluster17"
"12891","Lactobacillus_crispatus_cluster"
"12897","Lactobacillus_iners"
"12930","Lactobacillus_iners"
"12945","Lactobacillus_crispatus_cluster"
"12955","Lactobacillus_crispatus_cluster"
"12966","Lactobacillus_iners"
"12982","Gardnerella_vaginalis"
"12993","Lactobacillus_iners"
"12994","Lactobacillus_iners"
"12995","Lactobacillus_iners"
"13003","Lactobacillus_iners"
"13005","Lactobacillus_crispatus_cluster"
"13011","Lactobacillus_crispatus_cluster"
"13025","Lactobacillus_gasseri_cluster"
"13033","Lactobacillus_iners"
"13035","Lactobacillus_iners"
"13038","Lactobacillus_iners"
"13051","Lactobacillus_iners"
"13065","Lactobacillus_iners"
"13071","Lactobacillus_crispatus_cluster"
"13074","Atopobium_vaginae"
"13082","Gardnerella_vaginalis"
"13084","Lactobacillus_gasseri_cluster"
"13087","Lactobacillus_iners"
"13095","Lactobacillus_iners"
"13096","Lactobacillus_iners"
"13104","Lactobacillus_crispatus_cluster"
"13114","Lactobacillus_iners"
"13115","Lactobacillus_iners"
"13119","Lactobacillus_iners"
"13146","Lactobacillus_crispatus_cluster"
"13147","Lactobacillus_crispatus_cluster"
"13148","Lactobacillus_iners"
"13172","Atopobium_vaginae"
"13178","Lactobacillus_crispatus_cluster"
"13181","Lactobacillus_crispatus_cluster"
"13196","Lactobacillus_iners"
"13197","Lactobacillus_iners"
"13202","Lactobacillus_crispatus_cluster"
"13226","Lactobacillus_iners"
"13228","Lactobacillus_iners"
"13236","Lactobacillus_iners"
"13241","Lactobacillus_jensenii/fornicalis/psittaci"
"13252","Lactobacillus_jensenii/fornicalis/psittaci"
"13258","Lactobacillus_jensenii/fornicalis/psittaci"
"13262","Lactobacillus_iners"
"13267","Lactobacillus_iners"
"13270","Lactobacillus_iners"
"13274","Lactobacillus_crispatus_cluster"
"13279","Lactobacillus_iners"
"13285","Lactobacillus_iners"
"13289","Lactobacillus_iners"
"13293","Lactobacillus_crispatus_cluster"
"13308","Lactobacillus_iners"
"13310","Lactobacillus_crispatus_cluster"
"13333","Lactobacillus_iners"
"13334","Lachnospiraceae_BVAB1"
"13347","Atopobium_vaginae"
"13349","Lactobacillus_jensenii/fornicalis/psittaci"
"13352","Lactobacillus_crispatus_cluster"
"13364","Lactobacillus_iners"
"13388","Lactobacillus_iners"
"13390","Lactobacillus_iners"
"13399","Lactobacillus_iners"
"13402","Lactobacillus_crispatus_cluster"
"13411","Lactobacillus_iners"
"13424","Lactobacillus_crispatus_cluster"
"13428","Gardnerella_vaginalis"
"13430","Lactobacillus_crispatus_cluster"
"13433","Lactobacillus_crispatus_cluster"
"13446","Lactobacillus_iners"
"13450","Lactobacillus_iners"
"13464","Lactobacillus_iners"
"13468","Lactobacillus_jensenii/fornicalis/psittaci"
"13475","Gardnerella_vaginalis"
"13500","Lachnospiraceae_BVAB1"
"13504","Lactobacillus_crispatus_cluster"
"13511","Lactobacillus_jensenii/fornicalis/psittaci"
"13513","Lactobacillus_crispatus_cluster"
"13514","Lactobacillus_crispatus_cluster"
"13542","Lachnospiraceae_BVAB1"
"13548","Gardnerella_vaginalis"
"13567","Bifidobacterium_breve_cluster"
"13579","Lactobacillus_iners"
"13584","Lactobacillus_iners"
"13590","Lactobacillus_crispatus_cluster"
"13596","Lactobacillus_crispatus_cluster"
"13597","Lachnospiraceae_BVAB1"
"13601","Lactobacillus_iners"
"13604","Lactobacillus_crispatus_cluster"
"13606","Lactobacillus_crispatus_cluster"
"13608","Lactobacillus_jensenii/fornicalis/psittaci"
"13622","Lactobacillus_crispatus_cluster"
"13623","Lactobacillus_crispatus_cluster"
"13651","Atopobium_vaginae"
"13660","Lactobacillus_crispatus_cluster"
"13662","Lactobacillus_crispatus_cluster"
"13669","Lactobacillus_gasseri_cluster"
"13672","Lactobacillus_iners"
"13676","Fusobacterium_cluster48"
"13680","Lactobacillus_gasseri_cluster"
"13697","Atopobium_vaginae"
"13709","Lactobacillus_crispatus_cluster"
"13725","Lactobacillus_crispatus_cluster"
"13740","Lactobacillus_crispatus_cluster"
"13751","Lactobacillus_iners"
"13761","Lactobacillus_crispatus_cluster"
"13773","Gardnerella_vaginalis"
"13790","Lactobacillus_iners"
"13805","Lactobacillus_iners"
"13810","Lactobacillus_crispatus_cluster"
"13824","Lactobacillus_crispatus_cluster"
"13827","Lactobacillus_jensenii/fornicalis/psittaci"
"13832","Lactobacillus_iners"
"13835","Lactobacillus_iners"
"13839","Gardnerella_vaginalis"
"13847","Lactobacillus_gasseri_cluster"
"13853","Lactobacillus_iners"
"13915","Lactobacillus_delbrueckii"
"13933","Lactobacillus_iners"
"13943","Lactobacillus_iners"
"13947","Lactobacillus_crispatus_cluster"
"13953","Lactobacillus_iners"
"13971","Lactobacillus_crispatus_cluster"
"13972","Lactobacillus_crispatus_cluster"
"13973","Lactobacillus_crispatus_cluster"
"13983","Lactobacillus_crispatus_cluster"
"14008","Gardnerella_vaginalis"
"14011","Lactobacillus_gasseri_cluster"
"14014","Lactobacillus_gasseri_cluster"
"14021","Lachnospiraceae_BVAB1"
"14024","Lactobacillus_iners"
"14052","Lactobacillus_iners"
"14062","Lactobacillus_iners"
"14084","Lactobacillus_iners"
"14095","Bifidobacterium_breve_cluster"
"14104","Lactobacillus_gasseri_cluster"
"14112","Lactobacillus_iners"
"14116","Lactobacillus_crispatus_cluster"
"14120","Lactobacillus_jensenii/fornicalis/psittaci"
"14128","Lactobacillus_iners"
"14131","Lactobacillus_iners"
"14132","Lactobacillus_crispatus_cluster"
"14137","Lactobacillus_gasseri_cluster"
"14154","Lactobacillus_iners"
"14160","Lactobacillus_iners"
"14167","Lactobacillus_iners"
"14179","Lactobacillus_iners"
"14190","Lactobacillus_crispatus_cluster"
"14193","Lactobacillus_iners"
"14203","Lactobacillus_crispatus_cluster"
"14204","Lactobacillus_iners"
"14221","Lactobacillus_iners"
"14235","Lactobacillus_gasseri_cluster"
"14253","Lactobacillus_crispatus_cluster"
"14264","Lactobacillus_crispatus_cluster"
"14274","Lactobacillus_iners"
"14276","Gardnerella_vaginalis"
"14277","Lachnospiraceae_BVAB1"
"14289","notype"
"14295","Lactobacillus_crispatus_cluster"
"14314","notype"
"14330","Lactobacillus_gasseri_cluster"
"14339","Lactobacillus_gasseri_cluster"
"14342","Lactobacillus_iners"
"14343","Lactobacillus_crispatus_cluster"
"14345","Lactobacillus_iners"
